2021-07-30,Electronic Funds Transfer DEPOSIT TRANSFERWISE CANADA_____562CR,,12306.94
2021-07-30,Point of Sale - Interac RETAIL PURCHASE 000001001243 DOLLARAMA #1149,6.61,
2021-07-30,Electronic Funds Transfer DEPOSIT CANADA,,150.00
2021-07-29,Internet Banking INTERNET TRANSFER 000000281714,,1500.00
2021-07-29,Point of Sale - Interac RETAIL PURCHASE 696001001089 DOMINION PEARLG,182.49,
2021-07-28,Electronic Funds Transfer PREAUTHORIZED DEBIT 000000000000000 IG FIN SERV IG SERV FIN,800.00,
2021-07-28,Point of Sale - Interac RETAIL PURCHASE 000440570728 DOKTOR LUKES A,11.75,
2021-07-28,Point of Sale - Interac RETAIL PURCHASE 120912975418 GALARE CURATED,77.05,
2021-07-28,Point of Sale - Interac RETAIL PURCHASE 120821804862 THE CHILL ZONE,5.00,
2021-07-28,Point of Sale - Interac RETAIL PURCHASE 120822216207 Kenny's Pizza S,7.53,
2021-07-27,Point of Sale - Interac RETAIL PURCHASE 000001001009 MEZZA TRURO,30.77,
2021-07-27,Point of Sale - Interac RETAIL PURCHASE 000001001179 COPPER BRANCH,15.06,
2021-07-27,Point of Sale - Interac RETAIL PURCHASE 274952147376 SQ *DRALA BOOKS,32.37,
2021-07-26,Electronic Funds Transfer NETWORK TRANSACTION FEE ATM-CANADA/GAB-CANADA,2.00,
2021-07-26,Automated Banking Machine ATM WITHDRAWAL INTERAC/TNS SCD 1127,102.95,
2021-07-26,Point of Sale - Interac RETAIL PURCHASE 000080300793 THE DAILY GRIND,10.87,
2021-07-26,Point of Sale - Interac RETAIL PURCHASE 000010300380 COWS,11.96,
2021-07-26,Point of Sale - Interac RETAIL PURCHASE 000001253066 ARTHUR'S URBAN,4.99,
2021-07-26,Point of Sale - Interac RETAIL PURCHASE 000001001402 IKEA HALIFAX,1.15,
2021-07-26,Point of Sale - Interac RETAIL PURCHASE 000001001734 IKEA HALIFAX,96.13,
2021-07-26,Point of Sale - Interac RETAIL PURCHASE 000001153091 DESERRES,52.83,
2021-07-26,Point of Sale - Interac RETAIL PURCHASE 000015304405 SWEET JANE'S GI,4.98,
2021-07-26,Point of Sale - Interac RETAIL PURCHASE 000001301056 THE DISCOVERY C,55.20,
2021-07-23,Point of Sale - Interac RETAIL PURCHASE 000001152083 DESERRES,12.86,
2021-07-23,Point of Sale - Interac RETAIL PURCHASE 309001001012 MUSEUM OF NATUR,10.01,
2021-07-23,Point of Sale - Interac RETAIL PURCHASE 000001001025 IKEA HALIFAX,172.25,
2021-07-23,Point of Sale - Interac RETAIL PURCHASE 299001001043 PIZZA HUT 0101,4.59,
2021-07-23,Point of Sale - Interac RETAIL PURCHASE 000001001588 MEZZA LEBANESE,15.19,
2021-07-22,Point of Sale - Interac RETAIL PURCHASE 000098303246 THAI IVORY CUIS,63.42,
2021-07-22,Point of Sale - Interac RETAIL PURCHASE 120315121953 SP * PEARLS VIN,11.50,
2021-07-22,Point of Sale - Interac RETAIL PURCHASE 274951526627 SQ *WHIMSY AND,56.03,
2021-07-22,Internet Banking INTERNET TRANSFER 000000219944,1500.00,
2021-07-22,Point of Sale - Interac RETAIL PURCHASE 000330030722 FANCY PANTS CAF,29.42,
2021-07-22,Electronic Funds Transfer PAY SALARIES EDUCATION,,1948.65
2021-07-22,Point of Sale - Interac RETAIL PURCHASE 124001001216 LUNENBURG SAVE,2.49,
2021-07-22,Point of Sale - Interac RETAIL PURCHASE 000001001239 NSLC #2565,37.75,
2021-07-22,Point of Sale - Interac RETAIL PURCHASE A9O1QCGD0000 Subway 16503,12.51,
2021-07-21,Point of Sale - Interac RETAIL PURCHASE 000001789043 CIRCLE K / IRVI,8.73,
2021-07-21,Point of Sale - Interac RETAIL PURCHASE 120110179266 SEA BISCUIT CAF,14.66,
2021-07-20,Point of Sale - Interac RETAIL PURCHASE 274951380123 SQ *1 SCOOP 2 S,6.00,
2021-07-20,Point of Sale - Interac RETAIL PURCHASE 274951379868 SQ *THE RED ONI,25.18,
2021-07-20,Point of Sale - Interac RETAIL PURCHASE 000475460720 EDIBLE ART CATE,37.95,
2021-07-20,Point of Sale - Interac RETAIL PURCHASE 120110795101 TAN COFFEE,7.27,
2021-07-20,Electronic Funds Transfer DEPOSIT CANADA,,249.18
2021-07-19,Electronic Funds Transfer NETWORK TRANSACTION FEE ATM-CANADA/GAB-CANADA,2.00,
2021-07-19,Electronic Funds Transfer NETWORK TRANSACTION FEE ATM-CANADA/GAB-CANADA,2.00,
2021-07-19,Electronic Funds Transfer PREAUTHORIZED DEBIT LN # 6423378476 CIBC LOANS / PRÊT CIBC,534.61,
2021-07-19,Point of Sale - Interac RETAIL PURCHASE 120015550305 TAN COFFEE,9.49,
2021-07-19,Point of Sale - Interac RETAIL PURCHASE 000001001263 MEZZA TRURO,25.28,
2021-07-19,Point of Sale - Interac RETAIL PURCHASE 274951180973 SQ *DOUGHNUTS B,4.20,
2021-07-19,Point of Sale - Interac RETAIL PURCHASE 000431110718 STIR IT UP VEGA,3.79,
2021-07-19,Point of Sale - Interac RETAIL PURCHASE 000430330718 STIR IT UP VEGA,20.24,
2021-07-19,Automated Banking Machine ATM WITHDRAWAL INTERAC/TNS SCD 1127,202.50,
2021-07-19,Point of Sale - Interac RETAIL PURCHASE 119815838392 LOBSTER BARN PU,10.12,
2021-07-19,Point of Sale - Interac RETAIL PURCHASE 119818115954 SP * TIDEWATER,10.90,
2021-07-19,Automated Banking Machine ATM WITHDRAWAL INTERAC/TNS SCD 1127,102.25,
2021-07-19,Point of Sale - Interac RETAIL PURCHASE 000633400716 MARCO POLO LAND,7.31,
2021-07-19,Point of Sale - Interac RETAIL PURCHASE 274950945427 SQ *GALLEY,9.05,
2021-07-15,Point of Sale - Interac RETAIL PURCHASE 119617059086 TIM HORTONS #00,9.57,
2021-07-15,Point of Sale - Interac RETAIL PURCHASE 274950772896 SQ *FARMACY + F,59.30,
2021-07-15,Point of Sale - Interac RETAIL PURCHASE 119616016808 BOOKMARK,88.50,
2021-07-15,Point of Sale - Interac RETAIL PURCHASE 119611884165 PRINCE EDWARD I,10.37,
2021-07-15,Point of Sale - Interac RETAIL PURCHASE 000645220714 MARCO POLO LAND,14.63,
2021-07-15,Point of Sale - Interac RETAIL PURCHASE 137506277378 SQ *KURIOSITIES,16.66,
2021-07-14,Electronic Funds Transfer NETWORK TRANSACTION FEE ATM-CANADA/GAB-CANADA,2.00,
2021-07-14,Point of Sale - Interac RETAIL PURCHASE 119516016198 CLOVER FARMS #2,19.45,
2021-07-14,Point of Sale - Interac RETAIL PURCHASE 000001001279 LUXURY MARKET,194.35,
2021-07-14,Point of Sale - Interac RETAIL PURCHASE 000001338007 THE BOOKMAN,21.00,
2021-07-14,Point of Sale - Interac RETAIL PURCHASE 000001870018 THE BOOK EMPORI,36.45,
2021-07-14,Automated Banking Machine ATM WITHDRAWAL INTERAC/TNS SCD 1127,202.25,
2021-07-14,Point of Sale - Interac RETAIL PURCHASE 000283130714 MARCO POLO LAND,9.95,
2021-07-14,Point of Sale - Interac RETAIL PURCHASE 000050300629 THE LOST ANCHOR,97.53,
2021-07-12,Branch Transaction NETWORK FEE DISCOUNT,,2.00
2021-07-12,Electronic Funds Transfer NETWORK TRANSACTION FEE ATM-CANADA/GAB-CANADA,2.00,
2021-07-12,Electronic Funds Transfer PREAUTHORIZED DEBIT KNIGHTS OF COLUMBUS,44.40,
2021-07-12,Electronic Funds Transfer PREAUTHORIZED DEBIT KNIGHTS OF COLUMBUS,83.90,
2021-07-12,Point of Sale - Interac RETAIL PURCHASE 119317300353 COWS CAVENDISH,17.98,
2021-07-12,Point of Sale - Interac RETAIL PURCHASE 119320128312 SP * HOW BAZAAR,5.74,
2021-07-12,Point of Sale - Interac RETAIL PURCHASE 000001001582 WALMART STORE #,84.00,
2021-07-12,Point of Sale - Interac RETAIL PURCHASE 119216126551 MARITIME FUN GR,24.99,
